1,1,Легко попасть ,Easy to Hit,-20," ваши глаза или находятся на стебельках, или необычно большие, или по другим причинам более уязвимы к атаке. Противник мо-жет поразить их, находясь в об-ласти их видимости, со штрафом всего -6 к попаданию..",1
2,2,Требует сигнала ,Requires Signal,-20, вы зависите от сигналов сети на-вигационных спутников (как GPS Земли) или другой подобной систе-мы. Ваши способности не работают в ее отсутствие и могут пострадать от наведенных помех.,1
3,3,Требует сигнала ,Requires Signal,-20, вы зависите от сигналов сети на-вигационных спутников (как GPS Земли) или другой подобной систе-мы. Ваши способности не работают в ее отсутствие и могут пострадать от наведенных помех.,1
4,4,Требует сигнала ,Requires Signal,-20, вы зависите от сигналов сети на-вигационных спутников (как GPS Земли) или другой подобной систе-мы. Ваши способности не работают в ее отсутствие и могут пострадать от наведенных помех.,1
5,5,Требует сигнала ,Requires Signal,-20, вы зависите от сигналов сети на-вигационных спутников (как GPS Земли) или другой подобной систе-мы. Ваши способности не работают в ее отсутствие и могут пострадать от наведенных помех.,1
6,6,Преимущество,Advantage,0,"жертва немедленно испытывает результат воздействия конкретно-го физического или ментального преимущества. Преимущества с мгновенными эффектами воз-действия поражают цель только однажды - сразу после попадания (и при провале броска ЗД); напри-мер, Телепорт немедленно теле-портирует жертву. Включаемые и выключаемые преимущества (типа Нематериальности) автома-тически «включаются» на одну минуту за каждое очко разницы при провале броска ЗД и не нахо-дятся под контролем жертвы. Это стоит +10% за очко стоимости пре-имущества; например, Нематери-альность стоила бы +800%! Если у преимущества есть уровни, опре-делите их.",1
7,6,Штраф к атрибуту,Attribute Penalty,0,"жертва получает времен-ную потерю атрибута. Это стоит +5% за -1 к СЛ или ЗД и +10% за -1 к ЛВ или ИН. Например, атака, сни-жающая ЛВ на 3 и ИН на 2, будет стоить +50%. Соответственно ухуд-шаются все умения, основанные на этих атрибутах. Снижение СЛ так-же уменьшает Базовый груз и пов-реждения, а снижение ИН умень-шает Волю и Восприятие. Другие вторичные характеристики не за-трагиваются; например, снижение ЗД не влияет на Базовую скорость и Единицы усталости. Штрафы длятся в течение одной минуты за каждую единицу разницы при провале броска ЗД.",1
8,6,Кома,Coma,0,"жертва попадает в глубокое бессознательное состо-яние и при отсутствии врачебной помощи скорее всего умрет в тече-ние дня, см. Предсмертное состоя-ние (с.429). +250%.",1
9,6,Накопление,Cumulative,0,"эффекты одинаковых атак скла-дываются! Вы должны брать это улучшение вместе со Штрафом к атрибуту, или с Преимуществом, или с Недостатком, или с Отменой преимущества, которые являются «уровневыми» чертами. +400%.",1
10,6,Недостаток,Disadvantage,0,"жертва временно получает один или более конкретных физиче-ских или ментальных недостатков (но не добровольные ментальные недостатки - см. с.121). Это сто-ит +1% за каждое очко стоимости временного недостатка; например, Паранойя [-10] стоит +10%. Если у недостатка есть уровни, опреде-лите их. Недостатки длятся в те-чение одной минуты за каждое очко разницы при провале ЗД.",1
