1,1,Круговой обзор ,360° Vision,14,25,"Ваша область зрения равна 360°. Защищаясь от нападения сбоку или с тыла, вы не получаете никаких штрафов. Вы можете ата-ковать врагов, находящихся сбоку или сзади, без Удара наугад, но с -2 к попаданию из-за неудобного угла атаки (обратите внимание, что некоторые приемы Каратэ не получают этого штрафа). Также вы получаете +5 к обнаружению Слежки; и ни одна атака сзади (если только она не скрыта от глаз) никогда не застанет вас врасплох. Побочным эффектом этой черты являются дополнительные глаза - их может быть сколько угодно при той же стоимости пре-имущества.",1,0,0
2,1,Чувство направления,Absolute Direction,1,5,"Вы всегда знаете на-правление на север и способны восстанавить путь, по которому прошли в течение прошлого ме-сяца, независимо от его четкости или сложности. Эта способ-ность не работает в средах типа межзвездного пространства или лимба астрального плана, но она действительно работает под зем-лей, под водой и на других пла-нетах. Она также дает +3 к Чувс-тву тела и Навигации (Воздух, Земля, или Море). (Примечание: чувство направления, ведущее животных к месту назначения во время миграций, слишком при-митивно; считайте его чертой на 0 очков)",1,0,0
3,1,Чувство пространства,3D Spatial Sense,1,10,"Как и выше, но ра-ботает в трех измерениях. Эта способность полезна в дальнем космосе, но не поможет вам при путешествии сквозь измерения. Вы получаете все премии Чувства направления и +1 к Пилотирова-нию, +2 к Воздушной акробатике, Свободному падению и Нави-гации (Гиперпространство или Космос).",1,0,0
4,1,Чувство направления,Absolute Direction,3,5,"Вы всегда знаете на-правление на север и способны восстанавить путь, по которому прошли в течение прошлого ме-сяца, независимо от его четкости или сложности. Эта способ-ность не работает в средах типа межзвездного пространства или лимба астрального плана, но она действительно работает под зем-лей, под водой и на других пла-нетах. Она также дает +3 к Чувс-тву тела и Навигации (Воздух, Земля, или Море). (Примечание: чувство направления, ведущее животных к месту назначения во время миграций, слишком при-митивно; считайте его чертой на 0 очков)",1,0,0
5,1,Чувство пространства,3D Spatial Sense,3,10,"Как и выше, но ра-ботает в трех измерениях. Эта способность полезна в дальнем космосе, но не поможет вам при путешествии сквозь измерения. Вы получаете все премии Чувства направления и +1 к Пилотирова-нию, +2 к Воздушной акробатике, Свободному падению и Нави-гации (Гиперпространство или Космос).",1,0,0
6,1,Чувство времени,Absolute Timing ,3,2,"вы всегда знаете, который сейчас час, с точностью самых лучших кар-манных часов, распространенных в вашей культуре (но не точнее не-скольких секунд). Вы можете с такой же точностью засекать время. Этой способности не в силах помешать ни изменение часового пояса, ни сон - причем вы можете по желанию просыпаться в заданное время. Бес-сознательное состояние, гипноз и т.п. может помешать этой способно-сти работать, а путешествие во вре-мени собьет вас с толку, пока вы не узнаете «новое» время",1,0,0
7,1,Хронолокация,Chronolocation,3,5," как и выше, но путешествие во времени не способно помешать - вы всегда будете знать, который сейчас час в абсолютном исчислении. Обратите внимание, что вещи типа перехо-да на летнее время и календарной реформы по-прежнему способны сбить вас с толку! При путешествии во времени Мастер может сказать вам: «Вы возвратились точно спустя 92.876,3 дней» и позволить вам - или вашему персонажу - самому разби-раться с вопросами типа «Что делать с високосным годом?»",1,0,0
8,1,Обостренный слух,Acute Hearing,1,2,"дает вам дополнительные шансы что-то услышать или засечь звук (например, человека, который в тем-ноте снимает оружие с предохрани-теля). ",0,0,0
9,1,Обостренный вкус и обоняние ,Acute Taste and Smell,1,2,"дают премию к определению вкуса или запаха (на-пример, яда в вашем питье). ",0,0,0
10,1,Обостренное осязание,Acute Touch,1,2,"дает дополнительную воз-можность что-то заметить при при-косновении (например, скрытое оружие при обыске подозреваемого).",0,0,0
